RCGU-63	I	40.39920725,-2.784330231200734	Central Hidroeléctrica de Buendía
RCGU-63	F	40.35820285,-2.80502918986601	Ermita de los Desamparados
SPG-51	I	40.4908553,-2.7398148	Mirador de la Presa de Entrepeñas
SPG-51	F	40.4489991,-2.762757976797993	Ermita del socorro
SPG-51	R	40.4816331,-2.7322215	Restaurante Mariblanca
SPG-51	R	40.4824246,-2.730757	Restaurante Hermanos Pacheco
SPG-24	I	40.5844711,-3.1141031	Calle Félix Rodríguez de la Fuente
SPG-24	G	40.57655,-3.12444
SPG-24	G	40.57447,-3.12225
SPG-24	G	40.5733336,-3.1127123
SPG-4	I	40.6497653,-2.5622261	Viana de Mondéjar
SPG-4	F	40.6611278,-2.5686047	Tetas de Viana
SPG-11	I	40.65880,-3.11281	Subida a Peña Hueva
SPG-11	F	40.6567536,-3.1057309	Peña Hueva
SPG-11	R	40.65831095,-3.118844317307693	Restaurante Las Galeras
SPG-10	I	40.6647543,-3.1232172	Campillo
SPG-10	F	40.6765436,-3.1053663	Subida al Pico del Águila
SPG-12 	I	40.626248950000004,-3.1515239281222707	Fuente de la Niña
SPG-12	G	40.6245647,-3.1279533	Mirador del Santo Verde
SPG-12	G	40.6374945,-3.1259514	Ermita Virgen Soledad
SPG-12	G	40.63585,-3.14347
SPG-3	I	40.7565054,-3.1644141	Calle Soledad
SPG-3	G	40.7696744,-3.1631761	El Urraque
SPG-3	G	40.75844015,-3.1471737339162225	Ermita Virgen de la Granja
SPG-3	R	40.752007,-3.1656257	Horno de las pizzas
SPG-3	R	40.7517712,-3.1635253	Asador de Pollos - El tío Kiriko
SPG-8	I	40.8492909,-3.105145	Alarilla
SPG-8	G	40.8603324,-3.10204	El Colmillo
SPG-8	G	40.8711903,-3.1101285	Valdeancheta
SPG-8	G	40.8581546,-3.1198007	La Aliagosa
SPG-8	G	40.8460001,-3.1104928	La Muela	960
SPG-49	I	40.909711,-3.4084542	Alpedrete de la Sierra
SPG-49	G	40.9000421,-3.4253709
SPG-49	G	40.883346700000004,-3.4419644419128472	Pontón de la Oliva
SPG-49	G	40.9026254,-3.4104077
SPG-67	I	40.92592275,-3.1892290724690318	Iglesia de San Miguel
SPG-67	G	40.9266674,-3.1916683	Río Sorbe
SPG-67	G	40.93345215,-3.195893321013167	Persa de Beleña
SPG-67	G	40.9293852,-3.1923351	El Rodeo
SPG-67	R	40.9454597,-3.0895985	Saboya
RCGU-10	I	41.074239199999994,-3.326048917088098	Roblelacasa
RCGU-10	G	41.0529965,-3.330917	Puente de los trillos
RCGU-10	D	41.0564798,-3.3358491	Matallana
RCGU-10	D	41.05706325,-3.3369639500000003	Ermita de San Juan
RCGU-10	F	41.0498784,-3.3248477	Mirador Cascadas del Aljibe
SPG-6	I	41.0082414,-2.6770737	La Cabrera
SPG-6	G	41.0147486,-2.6371913	Pelegrina
SPG-6	G	41.0079901,-2.620055	Cascada del Gollorio
SPG-6	G	41.0122539,-2.620686	Félix Rodríguez de la Fuente
SPG-6	G	41.0145607,-2.6368451	El mirador del Dulce
SPG-6	R	40.9565775,-2.7502718	Bar Agustin
SPG-2	I	41.1116768,-3.30221	Majaelrayo
SPG-2	F	41.1045482,-3.2554163	Ocejón	2049
SPG-2	R	41.1130548,-3.3016902	Mesón Jabalí
SPG-7	I	41.13490215,-3.581514648361579	Ermita de Ntra. Sra. de la Soledad
SPG-7	F	41.1650545,-3.5398126	Tres Provincias	2126
SPG-7	R	40.9218201,-3.5303599	Restaurante El Lago
SPG-9	I	41.2158623,-3.4204033	Puerto de la Quesera	1712
SPG-9	F	41.1832569,-3.4661937	Pico del Lobo	2274
SPG-19	I	40.9709424,-3.2749146	Retiendas
SPG-19	G	40.9671134,-3.2951642	Monasterio de Bonaval (ruinas)
SPG-19	F	40.9475692,-3.3144159	Puente medieval de Valdesotos
SPG-30	G	41.129305900000006,-3.2334781096986087	Iglesia Parroquial de San Ildefonso
SPG-30	G	41.1269575,-3.2544854	Chorreras de Despeñalagua
SPG-30	F	41.1369327,-3.2799511	Campachuelo, Guadalajara	1869
SPG-30	R	41.1292967,-3.233216	Los Cantos
SPG-37	I	41.23580645,-3.3491126493098102	Aparcamiento Hayedo Tejera Negra
SPG-37	G	41.2385128,-3.3657031	Arroyo Carretas
SPG-37	G	41.2386598,-3.3733882	Pradera de Matarredonda
SPG-37	G	41.2362368,-3.3581202	Senda de Carretas
SPG-65	I	41.0835841,-3.0036605	Hiendelaencina
SPG-65	G	41.07829815,-3.004926418635516	Mina La Salvadora
SPG-65	G	41.06493345,-3.0130384559528585	Mina La Fuerza
SPG-65	G	41.06384665,-3.014780822710146	Mina Malanoche
SPG-65	R	41.0833227,-3.0031063	Mesón Sabory
SPG-35	I	41.0007913,-3.2483654	Tamajón
SPG-35	I	41.00324565,-3.248397523568748	Iglesia de Ntra. Sra. de la Asunción
SPG-35	G	41.01581505,-3.2556098009931382	Iglesia de Nª Sª de los Enebrales
SPG-35	G	41.0128113,-3.2520558	Ciudad Encantada de Tamajón
SPG-35	G	41.0468816,-3.2260888	Almiruete
SPG-35	R	41.0012883,-3.2483032	El frenazo
SPG-14	I	40.3672413,-2.7573386	Buendía
SPG-14	G	40.3990467,-2.747226	Monte Reído
SPG-14	G	40.4028271,-2.7549397	Recorrido de las caras
SPG-14	G	40.374742,-2.7608762	La Asomada
SPG-14	R	40.3664712,-2.7578289	Julmi
RCGU-91	I	40.6695117,-2.4030027	Arbeteta
RCGU-91	G	40.6662378,-2.3894342	Barranco de Escaramujos
RCGU-91	G	40.6802033,-2.3713676	Peña del Arco
RCGU-91	G	40.6735857,-2.3922423	Barranco los Conejeros
SPG-15	I	40.8418812,-1.9809926	Calle Virgen de la Hoz
SPG-15	G	40.8514943,-1.9985749961399955	Área recreativa "Dehesa de Corduente"
SPG-15	G	40.8299195,-2.0014831191121285	Mirador
SPG-15	G	40.8294157,-2.000208641304349	Santuario de la Virgen de la Hoz
SPG-15	G	40.8339021,-1.9882456	Mojón Blanco
SPG-15	R	40.8424225,-1.9775932	Qrica Taberna
SPG-13	I	40.8837064,-1.6847648	Campillo de Dueñas
SPG-13	R	40.8350795,-1.7062882414440443	Castillo de Zafra
SPG-28	I	40.7724788,-2.3978421	Ocentejo
SPG-28	G	40.7629367,-2.3800882	Hundido de Armallones
SPG-28	I	40.7838466,-2.3620381	Salinas de la Inesperada